0,1
0X03FF00,0X4B
0X03FF01,0XBB
0X03FF02,0XDC
0X03FF03,0XF3
0X03FF04,0X86
0X03FF05,0XE2
0X03FF06,0X5B
0X03FF07,0XDD
0X03FF08,0X51
0X03FF09,0X0D
0X03FF0A,0X87
0X03FF0B,0XDC
0X03FF0C,0X01
0X03FF0D,0X9D
0X03FF0E,0X02
0X03FF0F,0X38
0X03FF10,0X79
0X03FF11,0XE1
0X03FF12,0X97
0X03FF13,0XF7
0X03FF14,0X63
0X03FF15,0XCD
0X03FF16,0X62
0X03FF17,0X9F
0X03FF18,0X15
0X03FF19,0X2E
0X03FF1A,0X1F
0X03FF1B,0XF2
0X03FF1C,0X2E
0X03FF1D,0X27
0X03FF1E,0X62
0X03FF1F,0X57
0X03FF20,0X54
0X03FF21,0X33
0X03FF22,0XA1
0X03FF23,0XD1
0X03FF24,0X07
0X03FF25,0XD3
0X03FF26,0X1F
0X03FF27,0XD4
0X03FF28,0X2E
0X03FF29,0X08
0X03FF2A,0X09
0X03FF2B,0XD3
0X03FF2C,0X26
0X03FF2D,0X5C
0X03FF2E,0XAE
0X03FF2F,0X3A
0X03FF30,0XD1
0X03FF31,0XC8
0X03FF32,0X29
0X03FF33,0X3A
0X03FF34,0X9A
0X03FF35,0X49
0X03FF36,0XFB
0X03FF37,0XD7
0X03FF38,0XF7
0X03FF39,0X05
0X03FF3A,0X19
0X03FF3B,0X4D
0X03FF3C,0X22
0X03FF3D,0XC1
0X03FF3E,0X5B
0X03FF3F,0X10
0X03FF40,0X8E
0X03FF41,0X03
0X03FF42,0X22
0X03FF43,0XFC
0X03FF44,0XBF
0X03FF45,0X9C
0X03FF46,0X64
0X03FF47,0X61
0X03FF48,0X39
0X03FF49,0X4F
0X03FF4A,0XC3
0X03FF4B,0X4E
0X03FF4C,0XF5
0X03FF4D,0X09
0X03FF4E,0XC2
0X03FF4F,0X8E
0X03FF50,0XE5
0X03FF51,0X48
0X03FF52,0X10
0X03FF53,0X3F
0X03FF54,0XC4
0X03FF55,0XC9
0X03FF56,0X8F
0X03FF57,0XFF
0X03FF58,0X91
0X03FF59,0XB0
0X03FF5A,0X5C
0X03FF5B,0XAE
0X03FF5C,0X22
0X03FF5D,0X8C
0X03FF5E,0X19
0X03FF5F,0X44
0X03FF60,0XD6
0X03FF61,0X50
0X03FF62,0X8C
0X03FF63,0X11
0X03FF64,0X74
0X03FF65,0X20
0X03FF66,0XCC
0X03FF67,0XF8
0X03FF68,0X9E
0X03FF69,0XBA
0X03FF6A,0XC1
0X03FF6B,0XC0
0X03FF6C,0XA6
0X03FF6D,0XF6
0X03FF6E,0X15
0X03FF6F,0XE5
0X03FF70,0X6F
0X03FF71,0XFA
0X03FF72,0X2E
0X03FF73,0XE8
0X03FF74,0XB8
0X03FF75,0XB1
0X03FF76,0X90
0X03FF77,0X74
0X03FF78,0X2B
0X03FF79,0X5D
0X03FF7A,0X6C
0X03FF7B,0X56
0X03FF7C,0XCB
0X03FF7D,0X2E
0X03FF7E,0XE3
0X03FF7F,0XD1
0X03FF80,0XE6
0X03FF81,0X26
0X03FF82,0X6F
0X03FF83,0X3C
0X03FF84,0X41
0X03FF85,0X9D
0X03FF86,0X10
0X03FF87,0X33
0X03FF88,0X74
0X03FF89,0XA8
0X03FF8A,0XE9
0X03FF8B,0X38
0X03FF8C,0X41
0X03FF8D,0X38
0X03FF8E,0XCB
0X03FF8F,0X34
0X03FF90,0XEF
0X03FF91,0X9C
0X03FF92,0X38
0X03FF93,0X2E
0X03FF94,0XA9
0X03FF95,0XA4
0X03FF96,0XAF
0X03FF97,0X06
0X03FF98,0XBB
0X03FF99,0X27
0X03FF9A,0X22
0X03FF9B,0XDF
0X03FF9C,0X50
0X03FF9D,0X87
0X03FF9E,0X4A
0X03FF9F,0X72
0X03FFA0,0X3A
0X03FFA1,0XF7
0X03FFA2,0XCB
0X03FFA3,0X96
0X03FFA4,0XFE
0X03FFA5,0X1D
0X03FFA6,0XBC
0X03FFA7,0X0E
0X03FFA8,0XBB
0X03FFA9,0X80
0X03FFAA,0X77
0X03FFAB,0X79
0X03FFAC,0XF6
0X03FFAD,0XAD
0X03FFAE,0X2E
0X03FFAF,0X1C
0X03FFB0,0X8F
0X03FFB1,0X2E
0X03FFB2,0XDB
0X03FFB3,0X2E
0X03FFB4,0X8C
0X03FFB5,0X56
0X03FFB6,0X15
0X03FFB7,0X2E
0X03FFB8,0X21
0X03FFB9,0XFA
0X03FFBA,0XB4
0X03FFBB,0X13
0X03FFBC,0XDC
0X03FFBD,0X10
0X03FFBE,0XAC
0X03FFBF,0X2C
0X03FFC0,0X62
0X03FFC1,0XE8
0X03FFC2,0XED
0X03FFC3,0X9D
0X03FFC4,0X46
0X03FFC5,0X31
0X03FFC6,0XBF
0X03FFC7,0X2E
0X03FFC8,0XD2
0X03FFC9,0XF3
0X03FFCA,0X6F
0X03FFCB,0X2E
0X03FFCC,0X26
0X03FFCD,0X3C
0X03FFCE,0X05
0X03FFCF,0X10
0X03FFD0,0X3D
0X03FFD1,0XA5
0X03FFD2,0X2E
0X03FFD3,0X05
0X03FFD4,0X41
0X03FFD5,0X67
0X03FFD6,0XD3
0X03FFD7,0XCC
0X03FFD8,0X66
0X03FFD9,0X2E
0X03FFDA,0X81
0X03FFDB,0XC6
0X03FFDC,0X61
0X03FFDD,0X74
0X03FFDE,0X2E
0X03FFDF,0XE4
0X03FFE0,0X62
0X03FFE1,0X1F
0X03FFE2,0XC7
0X03FFE3,0X0A
0X03FFE4,0XFA
0X03FFE5,0X41
0X03FFE6,0X31
0X03FFE7,0X4E
0X03FFE8,0X21
0X03FFE9,0X23
0X03FFEA,0X26
0X03FFEB,0XA5
0X03FFEC,0X1B
0X03FFED,0X56
0X03FFEE,0XE9
0X03FFEF,0XA7
0X03FFF0,0X61
0X03FFF1,0XA4
0X03FFF2,0X3C
0X03FFF3,0X2E
0X03FFF4,0XB4
0X03FFF5,0X09
0X03FFF6,0XF7
0X03FFF7,0X03
0X03FFF8,0X50
0X03FFF9,0X45
0X03FFFA,0XFF
0X03FFFB,0XF1
0X03FFFC,0X95
0X03FFFD,0X1D
0X03FFFE,0X11
0X03FFFF,0X8C
0X04FF00,0XC1
0X04FF01,0X6C
0X04FF02,0X06
0X04FF03,0XE8
0X04FF04,0X9E
0X04FF05,0XBE
0X04FF06,0X22
0X04FF07,0XE0
0X04FF08,0X0A
0X04FF09,0X79
0X04FF0A,0XE5
0X04FF0B,0XFE
0X04FF0C,0X98
0X04FF0D,0X00
0X04FF0E,0XA1
0X04FF0F,0X27
0X04FF10,0XF5
0X04FF11,0X6C
0X04FF12,0XFA
0X04FF13,0XCB
0X04FF14,0XCC
0X04FF15,0X3C
0X04FF16,0XBE
0X04FF17,0XEE
0X04FF18,0X1A
0X04FF19,0XD1
0X04FF1A,0X78
0X04FF1B,0XA4
0X04FF1C,0X61
0X04FF1D,0XA0
0X04FF1E,0XF6
0X04FF1F,0XCF
0X04FF20,0XE3
0X04FF21,0XFB
0X04FF22,0X12
0X04FF23,0XF5
0X04FF24,0XE3
0X04FF25,0X8B
0X04FF26,0X47
0X04FF27,0X42
0X04FF28,0X53
0X04FF29,0X8A
0X04FF2A,0X49
0X04FF2B,0X0D
0X04FF2C,0X26
0X04FF2D,0X98
0X04FF2E,0X39
0X04FF2F,0X0B
0X04FF30,0X4A
0X04FF31,0X97
0X04FF32,0XBA
0X04FF33,0XE1
0X04FF34,0X29
0X04FF35,0XD9
0X04FF36,0XC2
0X04FF37,0X08
0X04FF38,0X4A
0X04FF39,0X29
0X04FF3A,0X4B
0X04FF3B,0X5E
0X04FF3C,0XEE
0X04FF3D,0XA4
0X04FF3E,0X58
0X04FF3F,0X98
0X04FF40,0XB8
0X04FF41,0XC3
0X04FF42,0X01
0X04FF43,0X1C
0X04FF44,0X29
0X04FF45,0X61
0X04FF46,0XA0
0X04FF47,0X0F
0X04FF48,0X05
0X04FF49,0XA4
0X04FF4A,0XB8
0X04FF4B,0XBB
0X04FF4C,0X77
0X04FF4D,0X6A
0X04FF4E,0X8A
0X04FF4F,0X34
0X04FF50,0X62
0X04FF51,0X0E
0X04FF52,0XBC
0X04FF53,0XE8
0X04FF54,0X1B
0X04FF55,0X0C
0X04FF56,0XC6
0X04FF57,0X29
0X04FF58,0XAB
0X04FF59,0X45
0X04FF5A,0X04
0X04FF5B,0X34
0X04FF5C,0X36
0X04FF5D,0X29
0X04FF5E,0XAF
0X04FF5F,0XB7
0X04FF60,0X11
0X04FF61,0XB0
0X04FF62,0X82
0X04FF63,0X07
0X04FF64,0XF5
0X04FF65,0X8E
0X04FF66,0X5F
0X04FF67,0X1D
0X04FF68,0X0E
0X04FF69,0XAB
0X04FF6A,0X80
0X04FF6B,0X6B
0X04FF6C,0X6B
0X04FF6D,0XE8
0X04FF6E,0X76
0X04FF6F,0XCE
0X04FF70,0X12
0X04FF71,0X29
0X04FF72,0XF3
0X04FF73,0X43
0X04FF74,0XD1
0X04FF75,0XDF
0X04FF76,0X5C
0X04FF77,0XF4
0X04FF78,0X0E
0X04FF79,0X02
0X04FF7A,0X64
0X04FF7B,0XD3
0X04FF7C,0XF5
0X04FF7D,0XFC
0X04FF7E,0X5D
0X04FF7F,0X16
0X04FF80,0X05
0X04FF81,0XA8
0X04FF82,0XE0
0X04FF83,0XEF
0X04FF84,0X08
0X04FF85,0X8B
0X04FF86,0XAB
0X04FF87,0X9E
0X04FF88,0X82
0X04FF89,0X72
0X04FF8A,0X5A
0X04FF8B,0X95
0X04FF8C,0X48
0X04FF8D,0X68
0X04FF8E,0X34
0X04FF8F,0X46
0X04FF90,0XED
0X04FF91,0X34
0X04FF92,0X2C
0X04FF93,0X91
0X04FF94,0X5F
0X04FF95,0XA8
0X04FF96,0XA8
0X04FF97,0XE9
0X04FF98,0X12
0X04FF99,0X2E
0X04FF9A,0XAE
0X04FF9B,0XC2
0X04FF9C,0X3E
0X04FF9D,0X50
0X04FF9E,0X4A
0X04FF9F,0X87
0X04FFA0,0X29
0X04FFA1,0X04
0X04FFA2,0X61
0X04FFA3,0X80
0X04FFA4,0X3F
0X04FFA5,0X70
0X04FFA6,0XB3
0X04FFA7,0X29
0X04FFA8,0XE6
0X04FFA9,0X69
0X04FFAA,0X54
0X04FFAB,0X39
0X04FFAC,0X35
0X04FFAD,0X40
0X04FFAE,0X7B
0X04FFAF,0XC6
0X04FFB0,0X52
0X04FFB1,0XAD
0X04FFB2,0XD0
0X04FFB3,0X9D
0X04FFB4,0X4F
0X04FFB5,0X52
0X04FFB6,0X60
0X04FFB7,0X9F
0X04FFB8,0XAB
0X04FFB9,0XBA
0X04FFBA,0X0C
0X04FFBB,0XFD
0X04FFBC,0X7D
0X04FFBD,0X45
0X04FFBE,0X97
0X04FFBF,0X23
0X04FFC0,0X14
0X04FFC1,0XEB
0X04FFC2,0X0A
0X04FFC3,0X49
0X04FFC4,0X95
0X04FFC5,0X4A
0X04FFC6,0XA6
0X04FFC7,0X2F
0X04FFC8,0XC9
0X04FFC9,0X5A
0X04FFCA,0XE3
0X04FFCB,0X71
0X04FFCC,0X4C
0X04FFCD,0XFB
0X04FFCE,0XBC
0X04FFCF,0X91
0X04FFD0,0X1F
0X04FFD1,0X4E
0X04FFD2,0XF0
0X04FFD3,0X8F
0X04FFD4,0X29
0X04FFD5,0X3C
0X04FFD6,0X29
0X04FFD7,0XD6
0X04FFD8,0X85
0X04FFD9,0X11
0X04FFDA,0X12
0X04FFDB,0X69
0X04FFDC,0XCF
0X04FFDD,0X81
0X04FFDE,0XD3
0X04FFDF,0X83
0X04FFE0,0X36
0X04FFE1,0X84
0X04FFE2,0X33
0X04FFE3,0X19
0X04FFE4,0X5E
0X04FFE5,0X29
0X04FFE6,0XAE
0X04FFE7,0X9B
0X04FFE8,0XDB
0X04FFE9,0XB3
0X04FFEA,0X5F
0X04FFEB,0X2C
0X04FFEC,0XDE
0X04FFED,0X38
0X04FFEE,0X90
0X04FFEF,0X63
0X04FFF0,0XD5
0X04FFF1,0X5F
0X04FFF2,0X74
0X04FFF3,0X94
0X04FFF4,0X29
0X04FFF5,0XD3
0X04FFF6,0X9A
0X04FFF7,0XF9
0X04FFF8,0X3F
0X04FFF9,0X29
0X04FFFA,0X2F
0X04FFFB,0XA9
0X04FFFC,0XD0
0X04FFFD,0XAD
0X04FFFE,0XBE
0X04FFFF,0XE5
0X05FF00,0XAD
0X05FF01,0X9A
0X05FF02,0X64
0X05FF03,0X28
0X05FF04,0X97
0X05FF05,0X31
0X05FF06,0XC3
0X05FF07,0XD7
0X05FF08,0X4E
0X05FF09,0X1D
0X05FF0A,0XCE
0X05FF0B,0XF2
0X05FF0C,0X28
0X05FF0D,0XF0
0X05FF0E,0XEC
0X05FF0F,0XE3
0X05FF10,0XFC
0X05FF11,0XDF
0X05FF12,0X6E
0X05FF13,0X47
0X05FF14,0X39
0X05FF15,0XBA
0X05FF16,0XBD
0X05FF17,0X03
0X05FF18,0XF3
0X05FF19,0X6D
0X05FF1A,0X02
0X05FF1B,0XB1
0X05FF1C,0X37
0X05FF1D,0X16
0X05FF1E,0X15
0X05FF1F,0XE3
0X05FF20,0XF2
0X05FF21,0X2C
0X05FF22,0X80
0X05FF23,0X84
0X05FF24,0X30
0X05FF25,0XB0
0X05FF26,0X1F
0X05FF27,0X7E
0X05FF28,0X0A
0X05FF29,0X6C
0X05FF2A,0XB9
0X05FF2B,0X1D
0X05FF2C,0XC6
0X05FF2D,0XD7
0X05FF2E,0XBB
0X05FF2F,0X28
0X05FF30,0XC8
0X05FF31,0XA1
0X05FF32,0X71
0X05FF33,0X61
0X05FF34,0X30
0X05FF35,0XE4
0X05FF36,0X0C
0X05FF37,0X2F
0X05FF38,0X30
0X05FF39,0X00
0X05FF3A,0X63
0X05FF3B,0XF6
0X05FF3C,0XE0
0X05FF3D,0X28
0X05FF3E,0XCE
0X05FF3F,0XD6
0X05FF40,0X62
0X05FF41,0X95
0X05FF42,0X8E
0X05FF43,0XBD
0X05FF44,0X93
0X05FF45,0X65
0X05FF46,0X25
0X05FF47,0XB9
0X05FF48,0XFB
0X05FF49,0XF9
0X05FF4A,0XB5
0X05FF4B,0XE0
0X05FF4C,0X28
0X05FF4D,0X4D
0X05FF4E,0XD2
0X05FF4F,0X5D
0X05FF50,0XF5
0X05FF51,0X33
0X05FF52,0X2A
0X05FF53,0X46
0X05FF54,0X0C
0X05FF55,0XD7
0X05FF56,0X2A
0X05FF57,0X19
0X05FF58,0XCE
0X05FF59,0X26
0X05FF5A,0XFE
0X05FF5B,0X28
0X05FF5C,0XB9
0X05FF5D,0XE9
0X05FF5E,0X6D
0X05FF5F,0XEA
0X05FF60,0XD3
0X05FF61,0XF2
0X05FF62,0XB6
0X05FF63,0X33
0X05FF64,0X6C
0X05FF65,0XC0
0X05FF66,0XF1
0X05FF67,0X5E
0X05FF68,0X7A
0X05FF69,0XBF
0X05FF6A,0X28
0X05FF6B,0X77
0X05FF6C,0XE6
0X05FF6D,0XAA
0X05FF6E,0X3A
0X05FF6F,0XF1
0X05FF70,0X49
0X05FF71,0X45
0X05FF72,0X29
0X05FF73,0XFF
0X05FF74,0X68
0X05FF75,0XB8
0X05FF76,0X4B
0X05FF77,0X28
0X05FF78,0XC5
0X05FF79,0XB9
0X05FF7A,0X73
0X05FF7B,0X7C
0X05FF7C,0X2B
0X05FF7D,0X25
0X05FF7E,0X9E
0X05FF7F,0X8D
0X05FF80,0X22
0X05FF81,0X28
0X05FF82,0X95
0X05FF83,0X82
0X05FF84,0XF9
0X05FF85,0XFF
0X05FF86,0XCC
0X05FF87,0X9B
0X05FF88,0X28
0X05FF89,0X28
0X05FF8A,0X28
0X05FF8B,0X62
0X05FF8C,0X3A
0X05FF8D,0X01
0X05FF8E,0X71
0X05FF8F,0X00
0X05FF90,0X77
0X05FF91,0XCD
0X05FF92,0XA2
0X05FF93,0X33
0X05FF94,0XC7
0X05FF95,0X28
0X05FF96,0XFB
0X05FF97,0X1F
0X05FF98,0X0C
0X05FF99,0XB7
0X05FF9A,0XBF
0X05FF9B,0XE3
0X05FF9C,0X5B
0X05FF9D,0X41
0X05FF9E,0X49
0X05FF9F,0XC7
0X05FFA0,0X37
0X05FFA1,0X0C
0X05FFA2,0X53
0X05FFA3,0X26
0X05FFA4,0XBA
0X05FFA5,0X4E
0X05FFA6,0X1F
0X05FFA7,0X0F
0X05FFA8,0XC7
0X05FFA9,0X2A
0X05FFAA,0XDD
0X05FFAB,0XA7
0X05FFAC,0X85
0X05FFAD,0XDF
0X05FFAE,0X01
0X05FFAF,0XAB
0X05FFB0,0X0F
0X05FFB1,0X84
0X05FFB2,0XA4
0X05FFB3,0XC0
0X05FFB4,0XCE
0X05FFB5,0X55
0X05FFB6,0XE9
0X05FFB7,0X9E
0X05FFB8,0XA0
0X05FFB9,0X77
0X05FFBA,0X7D
0X05FFBB,0X4A
0X05FFBC,0X62
0X05FFBD,0X7A
0X05FFBE,0X42
0X05FFBF,0X6B
0X05FFC0,0X6C
0X05FFC1,0XF6
0X05FFC2,0XC8
0X05FFC3,0X6D
0X05FFC4,0X36
0X05FFC5,0X27
0X05FFC6,0XD9
0X05FFC7,0X07
0X05FFC8,0X58
0X05FFC9,0XAF
0X05FFCA,0X60
0X05FFCB,0X16
0X05FFCC,0X62
0X05FFCD,0XF8
0X05FFCE,0X51
0X05FFCF,0XE3
0X05FFD0,0X7A
0X05FFD1,0X30
0X05FFD2,0X28
0X05FFD3,0XD2
0X05FFD4,0XF1
0X05FFD5,0X13
0X05FFD6,0X28
0X05FFD7,0X91
0X05FFD8,0X0C
0X05FFD9,0XC7
0X05FFDA,0X5D
0X05FFDB,0XCE
0X05FFDC,0X0B
0X05FFDD,0XF6
0X05FFDE,0X1E
0X05FFDF,0X28
0X05FFE0,0XAD
0X05FFE1,0XF3
0X05FFE2,0X23
0X05FFE3,0X28
0X05FFE4,0XD6
0X05FFE5,0XAB
0X05FFE6,0X5B
0X05FFE7,0XF9
0X05FFE8,0X19
0X05FFE9,0X1F
0X05FFEA,0X35
0X05FFEB,0XDE
0X05FFEC,0X27
0X05FFED,0XC4
0X05FFEE,0X0C
0X05FFEF,0X8C
0X05FFF0,0XB4
0X05FFF1,0X56
0X05FFF2,0XD4
0X05FFF3,0X8F
0X05FFF4,0XD6
0X05FFF5,0XC4
0X05FFF6,0XF4
0X05FFF7,0XDA
0X05FFF8,0XBE
0X05FFF9,0XF5
0X05FFFA,0XED
0X05FFFB,0X28
0X05FFFC,0X7A
0X05FFFD,0XA7
0X05FFFE,0X9E
0X05FFFF,0XE2
0X06FF00,0X74
0X06FF01,0X4A
0X06FF02,0XAA
0X06FF03,0X20
0X06FF04,0X25
0X06FF05,0X34
0X06FF06,0XD2
0X06FF07,0X2D
0X06FF08,0X23
0X06FF09,0X01
0X06FF0A,0X26
0X06FF0B,0X01
0X06FF0C,0XF3
0X06FF0D,0XFF
0X06FF0E,0X2B
0X06FF0F,0XBC
0X06FF10,0X58
0X06FF11,0XD8
0X06FF12,0X79
0X06FF13,0X13
0X06FF14,0X96
0X06FF15,0XB4
0X06FF16,0X78
0X06FF17,0X67
0X06FF18,0XAF
0X06FF19,0XD9
0X06FF1A,0X50
0X06FF1B,0XE3
0X06FF1C,0X2B
0X06FF1D,0XA8
0X06FF1E,0X68
0X06FF1F,0X35
0X06FF20,0X47
0X06FF21,0X8D
0X06FF22,0XDA
0X06FF23,0X53
0X06FF24,0XA4
0X06FF25,0X6C
0X06FF26,0X6C
0X06FF27,0X0E
0X06FF28,0X4E
0X06FF29,0X47
0X06FF2A,0XF5
0X06FF2B,0X55
0X06FF2C,0X54
0X06FF2D,0X12
0X06FF2E,0X9B
0X06FF2F,0X28
0X06FF30,0XDF
0X06FF31,0XAA
0X06FF32,0X62
0X06FF33,0X79
0X06FF34,0XEA
0X06FF35,0X9E
0X06FF36,0XE4
0X06FF37,0X89
0X06FF38,0X4F
0X06FF39,0X47
0X06FF3A,0X93
0X06FF3B,0XDA
0X06FF3C,0X83
0X06FF3D,0XA6
0X06FF3E,0XA3
